type,region,instance,deployment,engine,license,term,purchaseOption,upfront,hourly,daily,adjustedAmortisedHourly,adjustedAmortisedDaily,sku
savings,us-east-1,db.r6id.32xlarge,single-az,aurora-postgresql,postgresql,3yr,All Upfront,266783.18,0.000000,0.000000,10.144619,243.470846,C25WP8HJXAM3XXGD
savings,us-east-1,db.r6id.32xlarge,single-az,aurora-postgresql,postgresql,1yr,No Upfront,0.00,14.748484,353.963616,14.748484,353.963616,C25WP8HJXAM3XXGD
savings,us-east-1,db.r6id.32xlarge,single-az,aurora-postgresql,postgresql,1yr,Partial Upfront,62921.04,7.182720,172.385280,14.360571,344.653699,C25WP8HJXAM3XXGD
savings,us-east-1,db.r6id.32xlarge,single-az,aurora-postgresql,postgresql,1yr,All Upfront,122485.50,0.000000,0.000000,13.972793,335.347023,C25WP8HJXAM3XXGD
onDemand,us-east-1,db.r5.8xlarge,single-az,aurora-postgresql,postgresql,,,,5.187520,124.500480,5.187520,124.500480,CFAAFDSC8X64PJXW
onDemand,us-east-1,db.r6g.12xlarge,single-az,aurora-postgresql,postgresql,,,,6.964280,167.142720,6.964280,167.142720,CWU8MJEP7SP7S279
savings,us-east-1,db.r8g.xlarge,single-az,aurora-postgresql,postgresql,1yr,No Upfront,0.00,0.318200,7.636800,0.318200,7.636800,D28KNAWK9NRHVWXN
savings,us-east-1,db.r8g.xlarge,single-az,aurora-postgresql,postgresql,1yr,Partial Upfront,1351.92,0.154370,3.704880,0.308593,7.406235,D28KNAWK9NRHVWXN
savings,us-east-1,db.r8g.xlarge,single-az,aurora-postgresql,postgresql,1yr,All Upfront,2621.28,0.000000,0.000000,0.299028,7.176674,D28KNAWK9NRHVWXN
onDemand,us-east-1,db.r8g.24xlarge,single-az,aurora-postgresql,postgresql,,,,14.819520,355.668480,14.819520,355.668480,DAVZPS8B5JTEFMAY
onDemand,us-east-1,db.r6i.32xlarge,single-az,aurora-postgresql,postgresql,,,,15.961600,383.078400,15.961600,383.078400,DQMHD6GWMMPWXRC9
savings,us-east-1,db.r6i.32xlarge,single-az,aurora-postgresql,postgresql,3yr,Partial Upfront,77795.60,2.960206,71.044944,5.918439,142.042526,DQMHD6GWMMPWXRC9
savings,us-east-1,db.r6i.32xlarge,single-az,aurora-postgresql,postgresql,1yr,All Upfront,76230.40,0.000000,0.000000,8.696144,208.707461,DQMHD6GWMMPWXRC9
savings,us-east-1,db.r6i.32xlarge,single-az,aurora-postgresql,postgresql,3yr,All Upfront,146241.28,0.000000,0.000000,5.560928,133.462268,DQMHD6GWMMPWXRC9
savings,us-east-1,db.r6i.32xlarge,single-az,aurora-postgresql,postgresql,1yr,Partial Upfront,38911.56,4.441900,106.605600,8.880819,213.139645,DQMHD6GWMMPWXRC9
savings,us-east-1,db.r6i.32xlarge,single-az,aurora-postgresql,postgresql,1yr,No Upfront,0.00,10.457600,250.982400,10.457600,250.982400,DQMHD6GWMMPWXRC9
onDemand,us-east-1,db.r4.16xlarge,single-az,aurora-postgresql,postgresql,,,,7.980800,191.539200,7.980800,191.539200,E7KHU5XY8JH89HME
onDemand,us-east-1,db.r5.xlarge,single-az,aurora-postgresql,postgresql,,,,0.648440,15.562560,0.648440,15.562560,EN625CNJ8FKTUEN6
onDemand,us-east-1,db.r6g.2xlarge,single-az,aurora-postgresql,postgresql,,,,1.160140,27.843360,1.160140,27.843360,EQ9V8JXCN577H9QQ
onDemand,us-east-1,db.r8gd.2xlarge,single-az,aurora-postgresql,postgresql,,,,1.073280,25.758720,1.073280,25.758720,F3GQXZVUFKU9PGAF
onDemand,us-east-1,db.r6gd.4xlarge,single-az,aurora-postgresql,postgresql,,,,2.146560,51.517440,2.146560,51.517440,FEUYND7JF5FDY2TW
savings,us-east-1,db.r6gd.4xlarge,single-az,aurora-postgresql,postgresql,1yr,All Upfront,13726.46,0.000000,0.000000,1.565875,37.580999,FEUYND7JF5FDY2TW
savings,us-east-1,db.r6gd.4xlarge,single-az,aurora-postgresql,postgresql,3yr,All Upfront,29897.90,0.000000,0.000000,1.136889,27.285330,FEUYND7JF5FDY2TW
savings,us-east-1,db.r6gd.4xlarge,single-az,aurora-postgresql,postgresql,3yr,Partial Upfront,15513.54,0.590304,14.167296,1.180217,28.325215,FEUYND7JF5FDY2TW
savings,us-east-1,db.r6gd.4xlarge,single-az,aurora-postgresql,postgresql,1yr,Partial Upfront,7051.14,0.804960,19.319040,1.609334,38.624009,FEUYND7JF5FDY2TW
savings,us-east-1,db.r6gd.4xlarge,single-az,aurora-postgresql,postgresql,1yr,No Upfront,0.00,1.652834,39.668016,1.652834,39.668016,FEUYND7JF5FDY2TW
onDemand,us-east-1,db.r5.24xlarge,single-az,aurora-postgresql,postgresql,,,,15.562560,373.501440,15.562560,373.501440,GDS2VQMP95KXTRNP
onDemand,us-east-1,db.r8gd.8xlarge,single-az,aurora-postgresql,postgresql,,,,4.293120,103.034880,4.293120,103.034880,GJ7N9QNZ2NKZ97B8
savings,us-east-1,db.r6gd.2xlarge,single-az,aurora-postgresql,postgresql,1yr,Partial Upfront,3526.00,0.402480,9.659520,0.804716,19.313182,GNR6TQEDNW8TK7UP
savings,us-east-1,db.r6gd.2xlarge,single-az,aurora-postgresql,postgresql,1yr,No Upfront,0.00,0.826460,19.835040,0.826460,19.835040,GNR6TQEDNW8TK7UP
savings,us-east-1,db.r6gd.2xlarge,single-az,aurora-postgresql,postgresql,3yr,Partial Upfront,7756.34,0.295152,7.083648,0.590092,14.162215,GNR6TQEDNW8TK7UP
savings,us-east-1,db.r6gd.2xlarge,single-az,aurora-postgresql,postgresql,1yr,All Upfront,6863.66,0.000000,0.000000,0.782987,18.791677,GNR6TQEDNW8TK7UP
savings,us-east-1,db.r6gd.2xlarge,single-az,aurora-postgresql,postgresql,3yr,All Upfront,14949.38,0.000000,0.000000,0.568461,13.643057,GNR6TQEDNW8TK7UP
onDemand,us-east-1,db.r5.4xlarge,single-az,aurora-postgresql,postgresql,,,,1.995200,47.884800,1.995200,47.884800,GS698PKHUUGGXEAU
savings,us-east-1,db.r5.4xlarge,single-az,aurora-postgresql,postgresql,1yr,All Upfront,9529.66,0.000000,0.000000,1.087116,26.090787,GS698PKHUUGGXEAU
savings,us-east-1,db.r5.4xlarge,single-az,aurora-postgresql,postgresql,3yr,Partial Upfront,9724.02,0.370058,8.881392,0.739821,17.755697,GS698PKHUUGGXEAU
savings,us-east-1,db.r5.4xlarge,single-az,aurora-postgresql,postgresql,3yr,All Upfront,18281.88,0.000000,0.000000,0.695181,16.684353,GS698PKHUUGGXEAU
savings,us-east-1,db.r5.4xlarge,single-az,aurora-postgresql,postgresql,1yr,No Upfront,0.00,1.298600,31.166400,1.298600,31.166400,GS698PKHUUGGXEAU
savings,us-east-1,db.r5.4xlarge,single-az,aurora-postgresql,postgresql,1yr,Partial Upfront,4862.44,0.555044,13.321056,1.109737,26.633691,GS698PKHUUGGXEAU
onDemand,us-east-1,db.r7i.large,single-az,aurora-postgresql,postgresql,,,,0.324220,7.781280,0.324220,7.781280,HTP2PXJGB7N3EHJV
savings,us-east-1,db.r8g.8xlarge,single-az,aurora-postgresql,postgresql,1yr,No Upfront,0.00,2.544740,61.073760,2.544740,61.073760,J7HU6Z639ZSJZ7HK
savings,us-east-1,db.r8g.8xlarge,single-az,aurora-postgresql,postgresql,1yr,All Upfront,20958.20,0.000000,0.000000,2.390851,57.380424,J7HU6Z639ZSJZ7HK
savings,us-east-1,db.r8g.8xlarge,single-az,aurora-postgresql,postgresql,1yr,Partial Upfront,10811.06,1.234100,29.618400,2.467395,59.217469,J7HU6Z639ZSJZ7HK
onDemand,us-east-1,db.r7g.2xlarge,single-az,aurora-postgresql,postgresql,,,,1.235820,29.659680,1.235820,29.659680,J9B4MY3PEA9SDKHG
savings,us-east-1,db.r6g.2xlarge,single-az,aurora-postgresql,postgresql,1yr,All Upfront,4263.88,0.000000,0.000000,0.486411,11.673867,JAHSHHGJMS588E94
savings,us-east-1,db.r6g.2xlarge,single-az,aurora-postgresql,postgresql,1yr,Partial Upfront,2175.80,0.248368,5.960832,0.496577,11.917848,JAHSHHGJMS588E94
savings,us-east-1,db.r6g.2xlarge,single-az,aurora-postgresql,postgresql,3yr,All Upfront,8180.32,0.000000,0.000000,0.311062,7.465499,JAHSHHGJMS588E94
savings,us-east-1,db.r6g.2xlarge,single-az,aurora-postgresql,postgresql,1yr,No Upfront,0.00,0.584972,14.039328,0.584972,14.039328,JAHSHHGJMS588E94
savings,us-east-1,db.r6g.2xlarge,single-az,aurora-postgresql,postgresql,3yr,Partial Upfront,4351.60,0.165550,3.973200,0.331023,7.944544,JAHSHHGJMS588E94
savings,us-east-1,db.r8g.large,single-az,aurora-postgresql,postgresql,1yr,No Upfront,0.00,0.159100,3.818400,0.159100,3.818400,JDYP7EU35UNVSC4Y
savings,us-east-1,db.r8g.large,single-az,aurora-postgresql,postgresql,1yr,All Upfront,1310.64,0.000000,0.000000,0.149514,3.588337,JDYP7EU35UNVSC4Y
savings,us-east-1,db.r8g.large,single-az,aurora-postgresql,postgresql,1yr,Partial Upfront,674.24,0.076970,1.847280,0.153885,3.693249,JDYP7EU35UNVSC4Y
onDemand,us-east-1,db.r8g.12xlarge,single-az,aurora-postgresql,postgresql,,,,5.696640,136.719360,5.696640,136.719360,JVASD9HHTAZT46GD
savings,us-east-1,db.r8g.12xlarge,single-az,aurora-postgresql,postgresql,1yr,All Upfront,31437.30,0.000000,0.000000,3.586277,86.070637,JVASD9HHTAZT46GD
savings,us-east-1,db.r8g.12xlarge,single-az,aurora-postgresql,postgresql,1yr,Partial Upfront,16219.60,1.851580,44.437920,3.701865,88.844765,JVASD9HHTAZT46GD
savings,us-east-1,db.r8g.12xlarge,single-az,aurora-postgresql,postgresql,1yr,No Upfront,0.00,3.816680,91.600320,3.816680,91.600320,JVASD9HHTAZT46GD
onDemand,us-east-1,db.r6gd.xlarge,single-az,aurora-postgresql,postgresql,,,,0.697460,16.739040,0.697460,16.739040,K8TA2PRNDBHPKMSV
onDemand,us-east-1,db.r8gd.xlarge,single-az,aurora-postgresql,postgresql,,,,0.697632,16.743168,0.697632,16.743168,KB2J7GGXDVBCSPKP
onDemand,us-east-1,db.r7i.4xlarge,single-az,aurora-postgresql,postgresql,,,,2.593760,62.250240,2.593760,62.250240,KFMF3MMEJSY74FGV
onDemand,us-east-1,db.r5.12xlarge,single-az,aurora-postgresql,postgresql,,,,7.781280,186.750720,7.781280,186.750720,MQNXB2HUPPXW6DZ5
onDemand,us-east-1,db.r7i.48xlarge,single-az,aurora-postgresql,postgresql,,,,31.125120,747.002880,31.125120,747.002880,MRMQVWVNQTS5DTRR
onDemand,us-east-1,db.r7g.large,single-az,aurora-postgresql,postgresql,,,,0.237360,5.696640,0.237360,5.696640,MYFF4NEMZPEB9KZ2
savings,us-east-1,db.r7g.large,single-az,aurora-postgresql,postgresql,1yr,No Upfront,0.00,0.183008,4.392192,0.183008,4.392192,MYFF4NEMZPEB9KZ2
savings,us-east-1,db.r7g.large,single-az,aurora-postgresql,postgresql,1yr,All Upfront,1519.62,0.000000,0.000000,0.173354,4.160493,MYFF4NEMZPEB9KZ2
savings,us-east-1,db.r7g.large,single-az,aurora-postgresql,postgresql,3yr,All Upfront,3311.00,0.000000,0.000000,0.125903,3.021675,MYFF4NEMZPEB9KZ2
savings,us-east-1,db.r7g.large,single-az,aurora-postgresql,postgresql,3yr,Partial Upfront,1717.42,0.065360,1.568640,0.130666,3.135987,MYFF4NEMZPEB9KZ2
savings,us-east-1,db.r7g.large,single-az,aurora-postgresql,postgresql,1yr,Partial Upfront,780.88,0.089096,2.138304,0.178177,4.276237,MYFF4NEMZPEB9KZ2
savings,us-east-1,db.r7i.large,single-az,aurora-postgresql,postgresql,1yr,All Upfront,1378.58,0.000000,0.000000,0.157264,3.774346,N2TUM9NSEZ4C6BQ8
savings,us-east-1,db.r7i.large,single-az,aurora-postgresql,postgresql,1yr,Partial Upfront,707.78,0.080840,1.940160,0.161582,3.877956,N2TUM9NSEZ4C6BQ8
savings,us-east-1,db.r7i.large,single-az,aurora-postgresql,postgresql,1yr,No Upfront,0.00,0.166840,4.004160,0.166840,4.004160,N2TUM9NSEZ4C6BQ8
savings,us-east-1,db.r6gd.8xlarge,single-az,aurora-postgresql,postgresql,3yr,All Upfront,59796.66,0.000000,0.000000,2.273810,54.571444,N87YB8TVA6CZ35J9
savings,us-east-1,db.r6gd.8xlarge,single-az,aurora-postgresql,postgresql,1yr,All Upfront,27453.78,0.000000,0.000000,3.131848,75.164353,N87YB8TVA6CZ35J9
savings,us-east-1,db.r6gd.8xlarge,single-az,aurora-postgresql,postgresql,3yr,Partial Upfront,31026.22,1.180608,28.334592,2.360402,56.649646,N87YB8TVA6CZ35J9
savings,us-east-1,db.r6gd.8xlarge,single-az,aurora-postgresql,postgresql,1yr,Partial Upfront,14103.14,1.609920,38.638080,3.218766,77.250373,N87YB8TVA6CZ35J9
savings,us-east-1,db.r6gd.8xlarge,single-az,aurora-postgresql,postgresql,1yr,No Upfront,0.00,3.305668,79.336032,3.305668,79.336032,N87YB8TVA6CZ35J9
onDemand,us-east-1,db.r7g.12xlarge,single-az,aurora-postgresql,postgresql,,,,7.415780,177.978720,7.415780,177.978720,N8M4FSK3METUAX9G
onDemand,us-east-1,db.r8g.16xlarge,single-az,aurora-postgresql,postgresql,,,,7.595520,182.292480,7.595520,182.292480,NKR6GGEX9CD583YX
savings,us-east-1,db.r8g.16xlarge,single-az,aurora-postgresql,postgresql,1yr,Partial Upfront,21625.56,2.468630,59.247120,4.935612,118.454676,NKR6GGEX9CD583YX
savings,us-east-1,db.r8g.16xlarge,single-az,aurora-postgresql,postgresql,1yr,All Upfront,41917.26,0.000000,0.000000,4.781800,114.763203,NKR6GGEX9CD583YX
savings,us-east-1,db.r8g.16xlarge,single-az,aurora-postgresql,postgresql,1yr,No Upfront,0.00,5.088620,122.126880,5.088620,122.126880,NKR6GGEX9CD583YX
