type,region,instance,deployment,engine,license,term,purchaseOption,upfront,hourly,daily,adjustedAmortisedHourly,adjustedAmortisedDaily,sku
savings,us-east-1,db.x2iedn.4xlarge,multi-az,oracle,byol,1yr,Partial Upfront,49984.56,5.706000,136.944000,11.408094,273.794267,CBMP5XEZFZKA4MRS
onDemand,us-east-1,db.x1e.8xlarge,multi-az,oracle,byol,,,,22.417900,538.029600,22.417900,538.029600,CGGFTHPCVS87UXGC
onDemand,us-east-1,db.x2iedn.24xlarge,multi-az,oracle,byol,,,,91.296000,2191.104000,91.296000,2191.104000,D7YBNHNKYAZQA9FW
savings,us-east-1,db.x2iedn.24xlarge,multi-az,oracle,byol,1yr,Partial Upfront,299907.36,34.236000,821.664000,68.448567,1642.765602,D7YBNHNKYAZQA9FW
savings,us-east-1,db.x2iedn.24xlarge,multi-az,oracle,byol,1yr,All Upfront,583819.66,0.000000,0.000000,66.600463,1598.411116,D7YBNHNKYAZQA9FW
savings,us-east-1,db.x2iedn.24xlarge,multi-az,oracle,byol,1yr,No Upfront,0.00,70.297900,1687.149600,70.297900,1687.149600,D7YBNHNKYAZQA9FW
savings,us-east-1,db.x2iedn.24xlarge,multi-az,oracle,byol,3yr,All Upfront,1271607.21,0.000000,0.000000,48.353761,1160.490267,D7YBNHNKYAZQA9FW
savings,us-east-1,db.x2iedn.24xlarge,multi-az,oracle,byol,3yr,Partial Upfront,659796.19,25.106400,602.553600,50.195616,1204.694773,D7YBNHNKYAZQA9FW
onDemand,us-east-1,db.x2iezn.12xlarge,multi-az,oracle,byol,,,,36.429000,874.296000,36.429000,874.296000,DMBCN6G5WZ5GV8EJ
onDemand,us-east-1,db.x1e.4xlarge,multi-az,oracle,byol,,,,11.209000,269.016000,11.209000,269.016000,F7WTXTSPGMJ3XV65
onDemand,us-east-1,db.x2iedn.2xlarge,multi-az,oracle,byol,,,,7.608000,182.592000,7.608000,182.592000,FJP3NCJGP76HEXCJ
savings,us-east-1,db.x2iedn.2xlarge,multi-az,oracle,byol,3yr,All Upfront,105967.27,0.000000,0.000000,4.029480,96.707525,FJP3NCJGP76HEXCJ
savings,us-east-1,db.x2iedn.2xlarge,multi-az,oracle,byol,3yr,Partial Upfront,54983.02,2.092200,50.212800,4.182968,100.391235,FJP3NCJGP76HEXCJ
savings,us-east-1,db.x2iedn.2xlarge,multi-az,oracle,byol,1yr,Partial Upfront,24992.28,2.853000,68.472000,5.704047,136.897133,FJP3NCJGP76HEXCJ
savings,us-east-1,db.x2iedn.2xlarge,multi-az,oracle,byol,1yr,All Upfront,48651.64,0.000000,0.000000,5.550039,133.200931,FJP3NCJGP76HEXCJ
savings,us-east-1,db.x2iedn.2xlarge,multi-az,oracle,byol,1yr,No Upfront,0.00,5.858100,140.594400,5.858100,140.594400,FJP3NCJGP76HEXCJ
