type,region,instance,deployment,engine,license,term,purchaseOption,upfront,hourly,daily,adjustedAmortisedHourly,adjustedAmortisedDaily,sku
savings,eu-west-1,db.r6gd.2xlarge,single-az,aurora-postgresql,postgresql,1yr,Partial Upfront,4510.00,0.514800,12.355200,1.029288,24.702907,RQU23BUYVX6UZQR8
savings,eu-west-1,db.r6gd.2xlarge,single-az,aurora-postgresql,postgresql,3yr,All Upfront,19121.00,0.000000,0.000000,0.727090,17.450148,RQU23BUYVX6UZQR8
savings,eu-west-1,db.r6gd.2xlarge,single-az,aurora-postgresql,postgresql,1yr,All Upfront,8779.00,0.000000,0.000000,1.001483,24.035592,RQU23BUYVX6UZQR8
savings,eu-west-1,db.r6gd.2xlarge,single-az,aurora-postgresql,postgresql,3yr,Partial Upfront,9921.00,0.377500,9.060000,0.754753,18.114073,RQU23BUYVX6UZQR8
savings,eu-west-1,db.r6gd.2xlarge,single-az,aurora-postgresql,postgresql,1yr,No Upfront,0.00,1.057100,25.370400,1.057100,25.370400,RQU23BUYVX6UZQR8
onDemand,eu-west-1,db.r5.8xlarge,single-az,aurora-postgresql,postgresql,,,,5.120000,122.880000,5.120000,122.880000,SQ2JNJT3XH9EK43U
savings,eu-west-1,db.r5.8xlarge,single-az,aurora-postgresql,postgresql,1yr,No Upfront,0.00,3.360000,80.640000,3.360000,80.640000,SQ2JNJT3XH9EK43U
savings,eu-west-1,db.r5.8xlarge,single-az,aurora-postgresql,postgresql,1yr,Partial Upfront,12608.00,1.439300,34.543200,2.877584,69.062023,SQ2JNJT3XH9EK43U
savings,eu-west-1,db.r5.8xlarge,single-az,aurora-postgresql,postgresql,3yr,All Upfront,48724.00,0.000000,0.000000,1.852764,44.466347,SQ2JNJT3XH9EK43U
savings,eu-west-1,db.r5.8xlarge,single-az,aurora-postgresql,postgresql,3yr,Partial Upfront,25917.00,0.986200,23.668800,1.971712,47.321093,SQ2JNJT3XH9EK43U
savings,eu-west-1,db.r5.8xlarge,single-az,aurora-postgresql,postgresql,1yr,All Upfront,24712.00,0.000000,0.000000,2.819074,67.657769,SQ2JNJT3XH9EK43U
onDemand,eu-west-1,db.r7g.16xlarge,single-az,aurora-postgresql,postgresql,,,,9.729000,233.496000,9.729000,233.496000,SUHWD65BSNAR6NZ3
savings,eu-west-1,db.r7g.16xlarge,single-az,aurora-postgresql,postgresql,1yr,No Upfront,0.00,7.491000,179.784000,7.491000,179.784000,SUHWD65BSNAR6NZ3
savings,eu-west-1,db.r7g.16xlarge,single-az,aurora-postgresql,postgresql,3yr,Partial Upfront,70308.00,2.675400,64.209600,5.348911,128.373871,SUHWD65BSNAR6NZ3
savings,eu-west-1,db.r7g.16xlarge,single-az,aurora-postgresql,postgresql,1yr,Partial Upfront,31958.00,3.648200,87.556800,7.293876,175.053035,SUHWD65BSNAR6NZ3
savings,eu-west-1,db.r7g.16xlarge,single-az,aurora-postgresql,postgresql,1yr,All Upfront,62212.00,0.000000,0.000000,7.096966,170.327173,SUHWD65BSNAR6NZ3
savings,eu-west-1,db.r7g.16xlarge,single-az,aurora-postgresql,postgresql,3yr,All Upfront,135503.00,0.000000,0.000000,5.152597,123.662332,SUHWD65BSNAR6NZ3
onDemand,eu-west-1,db.r6gd.8xlarge,single-az,aurora-postgresql,postgresql,,,,5.491000,131.784000,5.491000,131.784000,TAQQ8NKM7SM5QTBC
savings,eu-west-1,db.r6gd.8xlarge,single-az,aurora-postgresql,postgresql,1yr,No Upfront,0.00,4.228200,101.476800,4.228200,101.476800,TAQQ8NKM7SM5QTBC
savings,eu-west-1,db.r6gd.8xlarge,single-az,aurora-postgresql,postgresql,3yr,Partial Upfront,39685.00,1.510100,36.242400,3.019150,72.459603,TAQQ8NKM7SM5QTBC
savings,eu-west-1,db.r6gd.8xlarge,single-az,aurora-postgresql,postgresql,1yr,All Upfront,35115.00,0.000000,0.000000,4.005818,96.139630,TAQQ8NKM7SM5QTBC
savings,eu-west-1,db.r6gd.8xlarge,single-az,aurora-postgresql,postgresql,1yr,Partial Upfront,18039.00,2.059200,49.420800,4.117037,98.808890,TAQQ8NKM7SM5QTBC
savings,eu-west-1,db.r6gd.8xlarge,single-az,aurora-postgresql,postgresql,3yr,All Upfront,76484.00,0.000000,0.000000,2.908358,69.800593,TAQQ8NKM7SM5QTBC
onDemand,eu-west-1,db.r6gd.2xlarge,single-az,aurora-postgresql,postgresql,,,,1.785000,42.840000,1.785000,42.840000,TCQUTVM5MKPTCFPD
onDemand,eu-west-1,db.r8g.large,single-az,aurora-postgresql,postgresql,,,,0.395000,9.480000,0.395000,9.480000,TF4KKXGYJF3TDBVP
onDemand,eu-west-1,db.r4.large,single-az,aurora-postgresql,postgresql,,,,0.320000,7.680000,0.320000,7.680000,U2GURYUQN7GBPEMX
onDemand,eu-west-1,db.r6id.32xlarge,single-az,aurora-postgresql,postgresql,,,,31.949000,766.776000,31.949000,766.776000,U3D633VPNRGVQZ88
onDemand,eu-west-1,db.r6i.2xlarge,single-az,aurora-postgresql,postgresql,,,,1.664000,39.936000,1.664000,39.936000,UPJXQQ3MSBP5K4RP
onDemand,eu-west-1,db.r7g.xlarge,single-az,aurora-postgresql,postgresql,,,,0.608000,14.592000,0.608000,14.592000,UVYZ59JT8B45XU9K
savings,eu-west-1,db.r7g.xlarge,single-az,aurora-postgresql,postgresql,3yr,All Upfront,8469.00,0.000000,0.000000,0.322040,7.728953,UVYZ59JT8B45XU9K
savings,eu-west-1,db.r7g.xlarge,single-az,aurora-postgresql,postgresql,1yr,All Upfront,3888.00,0.000000,0.000000,0.443532,10.644764,UVYZ59JT8B45XU9K
savings,eu-west-1,db.r7g.xlarge,single-az,aurora-postgresql,postgresql,3yr,Partial Upfront,4394.00,0.167200,4.012800,0.334285,8.022839,UVYZ59JT8B45XU9K
savings,eu-west-1,db.r7g.xlarge,single-az,aurora-postgresql,postgresql,1yr,Partial Upfront,1997.00,0.228000,5.472000,0.455812,10.939488,UVYZ59JT8B45XU9K
